ParticipantID,Age,Gender,Group,TrialNumber,Condition,TimeElapsed,PeopleRescued,DidDrown,DrownCount,HealthRemaining,AttemptedRescue,TimeNearVictim
50411,20,Female,0,1,0,182.323829,0,true,1,0.240257,false,0.0
50411,20,Female,0,2,1,121.227058,0,false,0,0.494847,false,0.0
50411,20,Female,0,3,2,120.442305,0,false,0,0.498117,true,13.155069
